time,x-axis,y-axis,z-axis,Event1,Event2
33.58 , -3.29 , 6.32 , 6.3500000000000005,0,0
33.642 , -3.37 , 6.2 , 6.3500000000000005,0,0
33.705 , -3.25 , 6.28 , 6.43,0,0
33.767 , -3.29 , 6.32 , 6.47,0,0
33.829 , -3.22 , 6.28 , 6.28,0,0
33.893 , -3.18 , 6.28 , 6.51,0,0
33.956 , -3.29 , 6.24 , 6.43,0,0
34.019 , -3.29 , 6.13 , 6.58,0,0
34.083 , -3.02 , 6.2 , 6.7,0,0
34.146 , -3.14 , 6.13 , 6.47,0,0
34.209 , -3.29 , 6.01 , 6.66,0,0
34.272 , -3.18 , 6.05 , 6.7,0,0
34.335 , -3.22 , 6.05 , 6.78,0,0
34.399 , -3.18 , 6.01 , 6.62,0,0
34.462 , -3.1 , 6.01 , 6.8100000000000005,0,0
34.526 , -3.25 , 5.97 , 6.62,0,0
34.589 , -3.29 , 6.01 , 6.7,0,0
34.652 , -3.14 , 5.9 , 6.8100000000000005,0,0
34.715 , -3.22 , 6.05 , 6.74,0,0
34.779 , -3.29 , 5.97 , 6.62,0,0
34.842 , -3.33 , 5.93 , 6.05,0,0
34.905 , -3.06 , 6.01 , 7.58,0,0
34.969 , -2.45 , 5.78 , 7.43,0,0
35.032000000000004 , -1.68 , 5.78 , 7.04,0,0
35.096000000000004 , -2.14 , 6.01 , 7.16,0,0
35.159 , -0.88 , 5.32 , 7.2,0,0
35.223 , -1.84 , 5.51 , 8.040000000000001,0,0
35.286 , -2.41 , 4.71 , 8.120000000000001,0,0
35.349000000000004 , -2.7600000000000002 , 4.4 , 7.96,0,0
35.413000000000004 , -2.5300000000000002 , 4.79 , 8.15,0,0
35.476 , -1.42 , 6.05 , 7.5,0,0
35.54 , -1.6500000000000001 , 6.16 , 6.74,0,0
35.603 , -2.22 , 5.97 , 7.2,0,0
35.666000000000004 , -2.0300000000000002 , 5.7 , 7.04,0,0
35.730000000000004 , -1.68 , 6.32 , 6.93,0,0
35.793 , -1.53 , 6.24 , 7.2700000000000005,0,0
35.857 , -1.61 , 6.01 , 6.890000000000001,0,0
35.92 , -1.72 , 6.16 , 7.54,0,0
35.983000000000004 , -1.8 , 5.9 , 7.66,0,0
36.047000000000004 , -2.45 , 5.74 , 6.78,0,0
36.11 , -2.56 , 5.59 , 7.16,0,0
36.174 , -2.79 , 5.32 , 7.46,0,0
36.237 , -2.87 , 5.17 , 7.890000000000001,0,0
36.302 , -2.6 , 5.44 , 7.69,0,0
36.365 , -2.83 , 4.9 , 6.93,0,0
36.428 , -2.6 , 5.97 , 7.2700000000000005,0,0
36.492 , -2.64 , 5.51 , 7.16,0,0
36.555 , -2.7600000000000002 , 5.55 , 7.2,0,0
36.619 , -2.72 , 5.67 , 7.2700000000000005,0,0
36.682 , -2.79 , 5.55 , 7.24,0,0
36.746 , -2.64 , 5.7 , 7.24,0,0
36.809 , -2.6 , 5.63 , 7.390000000000001,0,0
36.873 , -2.5300000000000002 , 5.63 , 7.2,0,0
36.936 , -2.5300000000000002 , 5.74 , 7.2,0,0
36.999 , -2.56 , 5.7 , 7.2700000000000005,0,0
37.063 , -2.5300000000000002 , 5.7 , 7.12,0,0
37.127 , -2.56 , 5.67 , 7.3100000000000005,0,0
37.19 , -2.5300000000000002 , 5.67 , 7.3100000000000005,0,0
37.254 , -2.45 , 5.59 , 7.43,0,0
37.317 , -2.45 , 5.59 , 7.390000000000001,0,0
37.381 , -2.41 , 5.63 , 7.43,0,0
37.444 , -2.34 , 5.59 , 7.2700000000000005,0,0
37.507 , -2.49 , 5.55 , 7.3500000000000005,0,0
37.571 , -2.37 , 5.59 , 7.390000000000001,0,0
37.635 , -2.22 , 5.55 , 7.3100000000000005,0,0
37.698 , -2.34 , 5.63 , 7.46,0,0
37.763 , -2.34 , 5.59 , 7.3100000000000005,0,0
37.826 , -2.3000000000000003 , 5.59 , 7.3100000000000005,0,0
37.889 , -2.22 , 5.59 , 7.390000000000001,0,0
37.952 , -2.22 , 5.59 , 7.3500000000000005,0,0
38.016 , -2.37 , 5.59 , 7.46,0,0
38.079 , -2.34 , 5.51 , 7.3100000000000005,0,0
38.143 , -2.3000000000000003 , 5.63 , 7.43,0,0
38.206 , -2.2600000000000002 , 5.63 , 7.3500000000000005,0,0
38.269 , -2.3000000000000003 , 5.55 , 7.3500000000000005,0,0
38.333 , -2.41 , 5.59 , 7.43,0,0
38.396 , -2.37 , 5.63 , 7.3500000000000005,0,0
38.459 , -2.34 , 5.59 , 7.3500000000000005,0,0
38.522 , -2.22 , 5.59 , 7.43,0,0
38.586 , -2.37 , 5.59 , 7.390000000000001,0,0
38.649 , -2.45 , 5.63 , 7.3100000000000005,0,0
38.712 , -2.34 , 5.63 , 7.390000000000001,0,0
38.776 , -2.3000000000000003 , 5.59 , 7.3100000000000005,0,0
38.839 , -2.49 , 5.63 , 7.2700000000000005,0,0
38.903 , -2.34 , 5.67 , 7.2700000000000005,0,0
38.966 , -2.3000000000000003 , 5.59 , 7.390000000000001,0,0
39.03 , -2.37 , 5.51 , 7.390000000000001,0,0
39.093 , -2.45 , 5.59 , 7.46,0,0
39.156 , -2.41 , 5.51 , 7.5,0,0
39.222 , -2.22 , 5.55 , 7.43,0,0
39.285000000000004 , -2.2600000000000002 , 5.55 , 7.46,0,0
39.348 , -2.34 , 5.44 , 7.2700000000000005,0,0
39.411 , -2.45 , 5.4 , 7.62,0,0
39.475 , -2.18 , 5.32 , 7.54,0,0
39.538000000000004 , -2.14 , 5.51 , 7.66,0,0
39.601 , -2.07 , 5.51 , 7.69,0,0
39.664 , -2.18 , 5.24 , 7.43,0,0
39.728 , -2.34 , 5.36 , 7.69,0,0
39.792 , -2.22 , 5.32 , 7.46,0,0
39.855000000000004 , -2.3000000000000003 , 5.28 , 7.5,0,0
39.918 , -2.2600000000000002 , 5.36 , 7.58,0,0
39.981 , -2.22 , 5.32 , 7.5,0,0
40.045 , -2.34 , 5.4 , 7.43,0,0
40.108000000000004 , -2.18 , 5.36 , 7.66,0,0
40.171 , -2.18 , 5.32 , 7.5,0,0
40.234 , -2.34 , 5.4 , 7.69,0,0
40.298 , -2.22 , 5.36 , 7.5,0,0
40.361000000000004 , -2.07 , 5.63 , 7.3100000000000005,0,0
40.425000000000004 , -2.07 , 5.4 , 7.16,0,0
40.488 , -1.49 , 5.17 , 7.890000000000001,0,0
40.552 , -1.22 , 5.55 , 7.69,0,0
40.615 , -1.45 , 5.05 , 8.38,0,0
40.679 , -1.53 , 5.4 , 7.62,0,0
40.742 , -1.42 , 5.44 , 7.54,0,0
40.805 , -1.76 , 5.59 , 7.8100000000000005,0,0
40.869 , -1.3800000000000001 , 6.09 , 7.890000000000001,0,0
40.932 , -1.72 , 6.8500000000000005 , 8.19,0,0
40.996 , -1.0 , 6.32 , 7.96,0,0
41.059 , -0.54 , 5.63 , 8.23,0,0
41.122 , -1.68 , 4.25 , 6.8500000000000005,0,0
41.186 , -1.3 , 3.14 , 8.0,0,0
41.249 , 3.06 , 3.37 , 10.91,0,0
41.312 , 1.8 , 2.95 , 10.3,0,0
41.376 , 2.22 , 2.5300000000000002 , 11.18,0,0
41.439 , 2.07 , 3.06 , 8.27,0,0
41.503 , -1.61 , 2.5300000000000002 , 8.38,0,0
41.566 , 2.37 , 1.9100000000000001 , 6.55,0,0
41.63 , 1.99 , 5.82 , 5.13,0,0
41.693 , 1.3 , 1.42 , 11.06,0,0
41.757 , 5.13 , 0.96 , 7.2,0,0
41.82 , 3.22 , 2.5300000000000002 , 9.34,0,0
41.884 , 5.4 , -1.99 , 5.05,0,0
41.947 , 5.55 , -0.96 , 7.96,0,0
42.01 , 4.98 , -2.95 , 9.72,0,0
42.074 , 6.3500000000000005 , -2.11 , 9.57,0,0
42.14 , 4.63 , -1.11 , 8.120000000000001,0,0
42.203 , 5.28 , -1.99 , 8.84,0,0
42.266 , 3.71 , 1.0 , 9.84,0,0
42.33 , 3.87 , 0.31 , 7.96,0,0
42.393 , 7.04 , -1.34 , 9.69,0,0
42.456 , 4.0200000000000005 , -1.26 , 9.23,0,0
42.52 , 4.25 , -0.84 , 8.23,0,0
42.583 , 5.44 , -0.84 , 7.58,0,0
42.646 , 6.47 , 0.6900000000000001 , 8.31,0,0
42.71 , 1.49 , -0.08 , 9.88,0,0
42.773 , 0.5700000000000001 , 1.6500000000000001 , 9.42,0,0
42.836 , 6.13 , -2.18 , 8.08,0,0
42.9 , 3.98 , 0.04 , 8.15,0,0
42.963 , 6.43 , -1.72 , 8.84,0,0
43.027 , 4.75 , -0.31 , 9.0,0,0
43.09 , 5.36 , -1.68 , 7.92,0,0
43.154 , 6.24 , -0.38 , 8.35,0,0
43.217 , 4.71 , -0.5700000000000001 , 8.5,0,0
43.28 , 5.28 , -0.73 , 8.88,0,0
43.343 , 4.67 , -0.5700000000000001 , 8.08,0,0
