Time,x,y,z,Speedbreaker,Pothole
34.734,-1.5,2.15,9.11,0,0
34.793,-1.31,2.15,9.11,0,0
34.871,-1.33,2.11,8.85,0,0
34.931,-1.23,2.11,9,0,0
34.991,-1.33,2.11,8.92,0,0
35.068,-1.38,2.11,8.96,0,0
35.131,-1.33,2.11,8.96,0,0
35.209,-1.33,2.11,9.04,0,0
35.273,-1.38,2.15,8.92,0,0
35.338,-1.33,2.15,8.92,0,0
35.403,-1.31,2.03,9.04,0,0
35.47,-1.31,2.07,9,0,0
35.53,-1.31,2.15,8.96,0,0
35.593,-1.27,2.11,8.92,0,0
35.658,-1.27,2.11,9.08,0,0
35.723,-1.27,2.07,8.96,0,0
35.791,-1.23,2.11,9,0,0
35.861,-1.33,2.11,9,0,0
35.934,-1.31,1.92,8.96,0,0
36.001,-1.23,2.11,8.96,0,0
36.067,-1.14,2.11,8.92,0,0
36.132,-1.23,2.07,9,0,0
36.201,-1.27,2.03,8.96,0,0
36.271,-1.23,2.07,9.04,0,0
36.358,-1.14,2.15,8.96,0,0
36.422,-1.33,2.07,9,0,0
36.511,-1.31,2.03,9,0,0
36.6,-1.23,2.03,9,0,0
36.67,-1.23,1.99,8.96,0,0
36.746,-1.38,2.03,9.04,0,0
36.814,-1.18,1.95,8.96,0,0
36.881,-1.23,1.99,9.08,0,0
36.947,-1.27,1.99,8.96,0,0
37.013,-1.27,2.03,9.04,0,0
37.082,-1.23,1.92,9,0,0
37.169,-1.27,1.92,8.96,0,0
37.233,-1.27,2.07,8.92,0,0
37.298,-1.31,2.03,8.96,0,0
37.358,-1.31,1.84,9,0,0
37.419,-1.31,1.95,8.96,0,0
37.483,-1.27,2.03,8.96,0,0
37.551,-1.27,1.92,9,0,0
37.612,-1.27,1.95,9,0,0
37.7,-1.33,1.92,9.04,0,0
37.774,-1.31,1.95,8.92,0,0
37.841,-1.31,1.95,9.04,0,0
37.929,-1.31,1.99,9,0,0
37.992,-1.27,1.95,9,0,0
38.062,-1.23,1.92,8.96,0,0
38.129,-1.38,1.99,9.04,0,0
38.23,-1.31,1.99,9,0,0
38.297,-1.27,1.92,9.04,0,0
38.362,-1.27,1.84,9.08,0,0
38.428,-1.31,1.99,8.92,0,0
38.531,-1.27,1.88,9.04,0,0
38.596,-1.27,1.88,9.04,0,0
38.663,-1.23,1.88,9.04,0,0
38.732,-1.38,1.99,9,0,0
38.801,-1.33,1.95,8.96,0,0
38.873,-1.27,1.84,9.04,0,0
38.94,-1.23,1.84,9.04,0,0
39.005,-1.23,2.03,8.96,0,0
39.07,-1.33,1.95,9,0,0
39.13,-1.27,1.84,9.04,0,0
39.192,-1.27,1.92,9.04,0,0
39.261,-1.27,1.95,8.96,0,0
39.34,-1.27,1.92,9,0,0
39.411,-1.38,2.03,8.96,0,0
39.481,-1.27,1.92,8.96,0,0
39.551,-1.27,1.92,9,0,0
39.621,-1.33,1.88,9,0,0
39.699,-1.33,1.99,9.04,0,0
39.768,-1.31,1.95,9,0,0
39.836,-1.31,1.88,8.96,0,0
39.896,-1.38,1.88,9.04,0,0
39.958,-1.33,1.88,8.96,0,0
40.023,-1.31,1.88,9,0,0
40.097,-1.33,1.88,9,0,0
40.164,-1.38,1.8,9,0,0
40.231,-1.33,1.88,8.92,0,0
40.301,-1.27,1.88,9.04,0,0
40.371,-1.23,1.88,8.96,0,0
40.436,-1.42,1.88,9.08,0,0
